Canonical_PostEra_ID,suspected_SMILES,IC50_(µM),IC50_CI_(Lower)_(µM),IC50_CI_(Upper)_(µM),Hill_slope,Curve_class,Semiquant
EDG-MED-5d232de5-2,[H][C@]1(C(=O)Nc2cncc3ccc(F)cc23)CCOc2ccc(Cl)cc21,92.1,82.8,102,0.988,2.1,Quant
EDG-MED-5d232de5-3,[H][C@]1(C(=O)Nc2cncc3ccccc23)CCN(C(C)=O)c2ccc(Cl)cc21,17.2,16.2,18.2,1.12,1.1,Quant
EDG-MED-5d232de5-4,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CCN(C(C)=O)c2ccc(Cl)cc21,0.355,0.339,0.371,1.07,1.1,Quant
EDG-MED-5d232de5-5,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CCN(C)c2ccc(Cl)cc21,0.246,0.203,0.297,0.895,2.1,Quant
EDG-MED-5d232de5-6,[H][C@]1(C(=O)Nc2cncc3ccccc23)CCN(C)c2ccc(Cl)cc21,54.4,40.7,72.8,0.564,2.1,Quant
EDG-MED-5d232de5-7,[H][C@]1(c2cccc(Cl)c2)CCN(c2cncc3ccccc23)C1=O,2.96,2.73,3.21,1.08,1.1,Quant
EDG-MED-5d232de5-8,[H][C@@]1(c2cccc(Cl)c2)CCN(c2cncc3ccccc23)C1=O,39.5,36.4,42.9,1.27,2.1,Quant
EDG-MED-971238d3-1,O=C(Nc1cncc2ccccc12)[C@]1(O)CCOc2ccc(Cl)cc21,0.988,0.887,1.10,1.01,1.1,Quant
EDG-MED-971238d3-4,N[C@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,47.5,38.3,59.0,1.11,2.1,Quant
EDG-MED-971238d3-5,Cl.Cl.NC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,5.02,4.61,5.47,1.05,1.1,Quant
EDJ-MED-00c1612e-1,COc1ccc2cncc(NC(=O)Cc3cccc(Cl)c3)c2c1,0.557,0.523,0.594,0.976,1.1,Quant
EDJ-MED-06d94977-1,CCC(=O)Nc1ccc(N(C)C(=O)Cn2nnc3ccccc32)cc1,> 99.5,,,1.49,2.3,Weak
EDJ-MED-06d94977-2,CN(Cc1cccc(Cl)c1)C(=O)Cn1nnc2ccccc21,> 99.5,,,0.606,2.3,Weak
EDJ-MED-076d6e64-1,O=C(Cc1cccc(Cl)c1)Nc1cncn2cnnc12,> 99.5,,,1.48,2.3,Weak
EDJ-MED-12c115cc-1,[H][C@@]1(C(=O)Nc2cncc3ccccc23)COc2ccc(Cl)cc21,0.483,0.416,0.561,1.2,1.1,Quant
EDJ-MED-12c115cc-2,[H][C@]1(C(=O)Nc2cncc3ccccc23)COc2ccc(Cl)cc21,7.30,1.83,29.1,0.846,2.3,Quant
EDJ-MED-3c65e9ce-2,CC(=O)N1CCN(CC(=O)Nc2cnccc2C2CC2)CC1,> 99.5,,,0.135,2.3,Weak
EDJ-MED-3c65e9ce-3,CC(=O)N1CCN(CC(=O)Nc2cnccc2-c2ccccc2)CC1,> 99.5,,,,,Weak
EDJ-MED-3c65e9ce-4,Cc1ccncc1NC(=O)CN1CCC(C)CC1,49.2,24.3,99.5,1.01,2.3,Quant
EDJ-MED-49816e9b-1,Cc1ccncc1CC(=O)Nc1cccc(Cl)c1,29.9,27.3,32.6,1.12,2.1,Quant
EDJ-MED-4c7486ba-8,"NS(=O)(=O)C1=NNC=C1C(=O)NC[C@]1(CCOC2=CC=C(Cl)C=C12)C(=O)NC1=CN=CC2=CC=CC=C12 |c:7,32,36,t:4,18,20,23,30,34,38|",1.99,1.73,2.28,1.19,1.1,Quant
EDJ-MED-4c7486ba-9,"O[C@]1(CCSC1)C(=O)NC[C@]1(CCOC2=CC=C(Cl)C=C12)C(=O)NC1=CN=CC2=CC=CC=C12 |c:29,33,t:15,17,20,27,31,35|",1.94,1.68,2.24,1.22,1.1,Quant
EDJ-MED-50fe53e8-1,O=C(Cc1cccc(Cl)c1)Nc1nncc2ccccc12,21.7,20.0,23.5,1.3,2.1,Quant
EDJ-MED-50fe53e8-2,O=C(Cc1cccc(Cl)c1)Nc1cnnc2ccccc12,> 99.5,,,1.63,2.3,Weak
EDJ-MED-50fe53e8-3,O=C(Cc1cccc(Cl)c1)Nc1ncn2ccccc12,> 99.5,,,1.35,2.3,Weak
EDJ-MED-611d11e7-12,[H][C@@]1(C(=O)Nc2cncc3ccncc23)CCOc2cc(F)c(Cl)cc21,0.397,0.362,0.435,0.964,1.1,Quant
EDJ-MED-611d11e7-4,CO[C@@]1(C(=O)Nc2cncc3ccc(F)cc23)CCOc2ccc(Cl)cc21,0.160,0.149,0.172,1.04,1.1,Quant
EDJ-MED-611d11e7-5,[H][C@]1(C(=O)Nc2cncc3ccc(F)cc23)CCNc2cc(Cl)c(Cl)cc21,12.1,11.0,13.2,0.944,1.1,Quant
EDJ-MED-611d11e7-6,[H][C@]1(C(=O)Nc2cncc3ccc(F)cc23)CCOc2cc(F)c(Cl)cc21,5.77,3.97,8.40,0.726,1.1,Quant
EDJ-MED-611d11e7-7,COc1ccc2cncc(NC(=O)[C@]3(OC)CCOc4ccc(Cl)cc43)c2c1,0.0765,0.0702,0.0832,1.15,1.1,Quant
EDJ-MED-611d11e7-8,[H][C@]1(C(=O)Nc2cncc3ccc(OC)cc23)CCNc2cc(Cl)c(Cl)cc21,27.2,21.4,34.6,0.634,2.1,Quant
EDJ-MED-6af13d92-1,COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2cccc(C)c12,10.6,8.85,12.7,1.2,1.1,Quant
EDJ-MED-6af13d92-3,COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2cccc(OC)c12,2.03,1.81,2.27,0.976,1.1,Quant
EDJ-MED-6e43a462-1,COc1ccn2c(NC(=O)Cc3cccc(Cl)c3)cnc2c1,> 99.5,,,1.15,2.3,Weak
EDJ-MED-6e43a462-11,O=C(Cc1cccc(Cl)c1)Nc1cnc2n1CCCC2,93.8,73.8,119,1.67,2.3,Quant
EDJ-MED-6e43a462-2,COc1ccc2ncc(NC(=O)Cc3cccc(Cl)c3)n2c1,15.9,13.4,18.8,1.2,1.1,Quant
EDJ-MED-6e43a462-3,COc1cccc2ncc(NC(=O)Cc3cccc(Cl)c3)n12,> 99.5,,,,,Weak
EDJ-MED-92e193ae-1,[H][C@@]1(C(=O)Nc2cncc3ccccc23)CCNc2ccc(Cl)cc21,0.230,0.216,0.245,1.13,2.1,Quant
EDJ-MED-92e193ae-2,[H][C@]1(C(=O)Nc2cncc3ccccc23)CCNc2ccc(Cl)cc21,> 99.5,,,1.45,2.3,Weak
EDJ-MED-976da9a6-1,O=C(Cc1cccc(Cl)c1)Nc1cncc2c1OCCC2,14.0,12.1,16.3,1.31,1.1,Quant
EDJ-MED-a364e151-1,O=C(Cc1cccc(Cl)c1)Nc1cncc2c1CCCC2,> 99.5,,,,,Weak
EDJ-MED-b24713dc-1,Cc1ccn2c(NC(=O)Cc3cccc(Cl)c3)cnc2c1,19.6,17.8,21.5,0.969,2.1,Quant
EDJ-MED-b24713dc-2,Cc1cccc2ncc(NC(=O)Cc3cccc(Cl)c3)n12,5.54,4.96,6.18,1.13,1.1,Quant
EDJ-MED-b24713dc-3,Cc1ccc2ncc(NC(=O)Cc3cccc(Cl)c3)n2c1,9.01,8.60,9.44,1.12,1.1,Quant
EDJ-MED-bbe8e3da-2,COc1cccc2[nH]c(=O)cc(C(=O)NCCOc3ccccc3OCC3CC3)c12,5.52,3.96,7.68,0.825,1.1,Quant
EDJ-MED-c292668a-1,O=C1CN(C(=O)Cc2cccc(Cl)c2)Cc2ccccc21,> 99.5,,,0.841,3.0,Weak
EDJ-MED-c314995a-1,O=C(Nc1cncc2ccccc12)N(CCC1CCCCC1)c1cccc(Cl)c1,0.261,0.246,0.276,1.03,2.1,Quant
EDJ-MED-c5ca5386-1,O=C(Cc1cccc(Cl)c1)Nc1cncc2cc(F)cc(Cl)c12,0.718,0.660,0.781,1.49,1.1,Quant
EDJ-MED-c8e7a002-1,COc1ccc2c(NC(=O)Cc3cccc(Cl)c3)noc2c1,> 99.5,,,,,Weak
EDJ-MED-c8e7a002-10,O=C(Cc1cccc(Cl)c1)Nc1[nH]nc2cc(F)ccc12,> 99.5,,,,,Weak
EDJ-MED-c8e7a002-11,O=C(Cc1cccc(Cl)c1)Nc1n[nH]c2ccccc12,> 99.5,,,1.67,2.3,Weak
EDJ-MED-c8e7a002-12,O=C(Cc1cccc(Cl)c1)Nc1cccc2cn[nH]c12,> 99.5,,,0.617,2.3,Weak
EDJ-MED-c8e7a002-13,O=C(Cc1cccc(Cl)c1)Nc1[nH]nc2cccc(F)c12,> 99.5,,,1.02,2.3,Weak
EDJ-MED-c8e7a002-14,O=C(Cc1cccc(Cl)c1)Nc1[nH]nc2cccnc12,> 99.5,,,2.6,2.3,Weak
EDJ-MED-c8e7a002-15,O=C(Cc1cccc(Cl)c1)Nc1n[nH]c2ccnc(Br)c12,> 99.5,,,,,Weak
EDJ-MED-c8e7a002-16,O=C(Cc1cccc(Cl)c1)Nc1n[nH]c2ccncc12,> 99.5,,,,,Weak
EDJ-MED-c8e7a002-2,COc1ccc2[nH]nc(NC(=O)Cc3cccc(Cl)c3)c2c1,> 99.5,,,,,Weak
EDJ-MED-c8e7a002-3,COc1ccc2c(NC(=O)Cc3cccc(Cl)c3)[nH]nc2c1,> 99.5,,,2.09,2.3,Weak
EDJ-MED-c8e7a002-4,Cc1ccn2cnnc2c1NC(=O)Cc1cccc(Cl)c1,75.3,67.8,83.6,1.1,2.1,Quant
EDJ-MED-c8e7a002-5,Cc1cc(C(F)(F)F)nc2n[nH]c(NC(=O)Cc3cccc(Cl)c3)c12,> 99.5,,,1.69,2.3,Weak
EDJ-MED-c8e7a002-6,Cc1nn(C)c2[nH]nc(NC(=O)Cc3cccc(Cl)c3)c12,> 99.5,,,2.68,3.0,Weak
EDJ-MED-c8e7a002-9,O=C(Cc1cccc(Cl)c1)Nc1n[nH]c2ccc(F)cc12,> 99.5,,,1.07,2.1,Weak
EDJ-MED-d08626de-1,CO[C@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,38.5,36.0,41.3,1.05,2.1,Quant
EDJ-MED-d08626de-3,CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2cc(Cl)c(Cl)cc21,0.307,0.286,0.330,1.06,2.1,Quant
EDJ-MED-d08626de-4,CO[C@]1(C(=O)Nc2cncc3ccccc23)CCOc2cc(Cl)c(Cl)cc21,60.9,52.9,70.2,0.884,2.1,Quant
EDJ-MED-e4b030d8-11,C[C@H]1COc2ccc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12,0.169,0.159,0.179,1.03,2.1,Quant
EDJ-MED-e4b030d8-12,O=C(Nc1cncc2ccccc12)[C@@H]1COc2ccc(Cl)cc2C1 |o1:13|,> 7.46,,,1.01,2.1,Weak
EDJ-MED-e4b030d8-13,C[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,0.284,0.272,0.296,1.08,1.1,Quant
EDJ-MED-e4b030d8-2,"C[C@@H]1C[C@@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2O1 |o1:1,3|",0.231,0.217,0.247,1.11,1.1,Quant
EDJ-MED-e4b030d8-3,"C[C@H]1C[C@@H](C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2O1 |o1:1,3|",20.1,15.6,25.8,1.13,2.1,Quant
EDJ-MED-e4b030d8-7,COc1cc(Cl)cc2c1OCC[C@H]2C(=O)Nc1cncc2ccccc12 |o1:12|,> 99.5,,,1.09,2.3,Weak
EDJ-MED-e4b030d8-8,"CC1=C(Cl)C=CC2=C1[C@@H](CCO2)C(=O)NC1=CN=CC2=CC=CC=C12 |c:1,4,6,19,23,t:17,21,25|",3.67,3.00,4.49,1.11,1.1,Quant
EDJ-MED-e58735b6-4,Cc1ccncc1NC(=O)Cc1cccc(-c2cn[nH]c2)c1,53.2,47.0,60.1,1.31,2.1,Quant
EDJ-MED-eff36d94-1,[H][C@]1(C(=O)Nc2c[n+]([O-])cc3ccccc23)CCOc2ccc(Cl)cc21,> 99.5,,,0.377,3.0,Weak
ERI-UCB-a0b0dbcb-11,COc1cccc(CN2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1,27.3,25.1,29.8,1.2,2.1,Quant
ERI-UCB-a0b0dbcb-12,O=C(c1cc(O)nc2ccccc12)N1CCN(Cc2cccc(Cl)c2)CC1,4.57,3.94,5.30,0.941,1.1,Quant
ERI-UCB-a0b0dbcb-13,O=C(c1cc(O)nc2ccccc12)N1CCN(Cc2cccc(C(F)(F)F)c2)CC1,34.2,27.2,43.0,0.892,2.1,Quant
ERI-UCB-a0b0dbcb-2,O=C(c1cc(O)nc2ccccc12)N1CCN(c2cccc(Cl)c2)CC1,2.16,2.06,2.27,1.04,1.1,Quant
ERI-UCB-a0b0dbcb-4,O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(c2cccc(C(F)(F)F)c2)CC1,3.80,3.29,4.39,0.96,1.1,Quant
ERI-UCB-a0b0dbcb-8,COc1ccccc1NC1CN(C(=O)c2cc(=O)[nH]c3ccccc23)C1,> 99.5,,,1.13,2.1,Weak
ERI-UCB-a0b0dbcb-9,COc1ccccc1OC1CN(C(=O)c2cc(=O)[nH]c3ccccc23)C1,> 99.5,,,1.13,2.1,Weak
ERI-UCB-d6de1f3c-1,O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(c2cccc(Cl)c2)C(=O)C1,15.8,14.7,17.0,1.1,1.1,Quant
ERI-UCB-d6de1f3c-2,O=C(c1cncc2ccccc12)N1CCN(c2cccc(Cl)c2)C(=O)C1,9.19,8.74,9.66,1.15,1.1,Quant
GAB-REV-70cc3ca5-8,Cc1ccncc1NC(=O)CN(C)S(=O)(=O)c1cccc2cccnc12,> 99.0,,,1.85,2.3,Weak
JAG-UCB-1d922829-1,Cc1ccc(NC2=C(c3ccccc3)C(=O)N(Cc3cccnc3)C2=O)cc1C,> 99.5,,,0.479,2.3,Weak
JAG-UCB-1d922829-2,"CC1=CC=C(NC2=C(C(=O)N(CC3=CC=CN=C3)C2=O)C2=CC=CC=C2)C(C)=C1 |c:14,16,24,26,30,t:1,3,6,12,22|",> 99.5,,,0.439,2.3,Weak
JAG-UCB-1d922829-3,Cc1ccc(NC2=C(c3ccccc3)C(=O)N(Cc3cccnc3)C2=O)cc1Cl,> 99.5,,,0.594,2.3,Weak
JAG-UCB-1d922829-4,CC(=O)N(CC(=O)Nc1ccc(F)c(Cl)c1)c1cccc(Cl)c1,> 99.5,,,0.594,2.3,Weak
JAG-UCB-1d922829-5,CC(=O)N(CC(=O)Nc1ccc(F)c(Cl)c1)c1cccc(C#N)c1,> 99.5,,,,,Weak
JAG-UCB-1d922829-6,CC(=O)N(CC(=O)Nc1ccc(F)c(Cl)c1)c1cccc(C(F)(F)F)c1,> 99.5,,,0.66,2.3,Weak
JAG-UCB-77729364-1,Cc1cc2c(N)nc(=O)n(CC(=O)Nc3cccc(Cl)c3)c2s1,> 99.5,,,,,Weak
JAG-UCB-c37fbdcd-2,COc1ccc(Cl)cc1N1C(=O)CN(Cc2cc(=O)[nH]c3ccccc23)C1=O,> 99.5,,,1.35,2.3,Weak
JAG-UCB-cedd89ab-1,Cc1ccncc1N1CCN(c2cccc(Cl)c2)C1=O,81.7,70.0,95.4,1.06,2.1,Quant
JAG-UCB-ef2c0e8e-4,Cc1ccc(-n2ncc3c(=O)n(CC(N)=O)cnc32)cc1C,> 99.5,,,,,Weak
JAN-GHE-5a013bed-1,Cc1nnn(NC(=O)Cc2cccc(Cl)c2)c1C,14.2,11.8,17.0,1.08,1.1,Quant
JAN-GHE-5a013bed-11,O=C(Cc1cccc(Cl)c1)Nc1nnn[nH]1,45.3,39.6,51.8,1.26,2.1,Quant
JAN-GHE-5a013bed-2,O=C(Cc1cccc(Cl)c1)Nn1cnc2ccccc21,8.30,7.44,9.27,1.08,1.1,Quant
JAN-GHE-5a013bed-3,O=C(Cc1cccc(Cl)c1)Nn1cnc2ccccc2c1=O,8.65,7.62,9.81,1.09,1.1,Quant
JAN-GHE-83b26c96-12,Cc1ccncc1NC(=O)Cc1cccc(Br)c1,20.6,18.9,22.5,1.2,1.1,Quant
JAN-GHE-83b26c96-20,Cc1ccncc1NC(=O)C1(c2cccc(Cl)c2)CC1,> 99.5,,,1.09,2.1,Weak
JAN-GHE-83b26c96-22,Cc1ccncc1NC(=O)C(C)(C)c1cccc(Cl)c1,95.8,69.5,132,1.74,2.3,Quant
JAR-KUA-41bd5a3d-1,COCc1csc(CNC(=O)c2ncc(Cl)cc2Cl)c1,> 99.5,,,,,Weak
JAR-KUA-41bd5a3d-10,CCS(=O)(=O)c1cc(Cl)cc(CNS(=O)(=O)c2cccs2)c1,> 99.5,,,,,Weak
JAR-KUA-41bd5a3d-11,Cc1ccc(S(=O)(=O)NCCNC(=O)N2CCN(S(=O)(=O)N3CCCC3)CC2)cc1,> 99.5,,,-0.261,4.0,Weak
JAR-KUA-41bd5a3d-12,COCc1ccccc1CNS(=O)(=O)c1c(C)sc(C)c1C,> 99.5,,,0.492,3.0,Weak
JAR-KUA-41bd5a3d-14,CCS(=O)(=O)c1ccc(CNS(=O)(=O)c2cnc(-c3ccccc3)s2)s1,> 99.5,,,0.338,4.0,Weak
JAR-KUA-41bd5a3d-15,Cc1nc2scc(C)n2c1CN1CCN(Cc2ccsc2)CC1,> 99.5,,,,,Weak
JAR-KUA-41bd5a3d-16,NS(=O)(=O)NCCNS(=O)(=O)c1ccccc1[N+](=O)[O-],> 99.5,,,,,Weak
JAR-KUA-41bd5a3d-17,COc1cc(OC)cc(-c2nc(-c3c(C)nc4sccn34)no2)c1,> 99.5,,,1.3,3.0,Weak
JAR-KUA-41bd5a3d-19,CCN(CC)S(=O)(=O)c1ccc(S(=O)(=O)N2CCN(S(N)(=O)=O)CC2)cc1,> 99.5,,,0.304,3.0,Weak
JAR-KUA-41bd5a3d-2,NS(=O)(=O)c1cc(CN2CCN(C(c3ccccc3)c3ccccc3)CC2)co1,> 99.5,,,0.808,4.0,Weak
JAR-KUA-41bd5a3d-4,Cc1nc(N2CCN(S(=O)(=O)c3ccccc3)CC2)sc1S(N)(=O)=O,> 99.5,,,8.42,4.0,Weak
JAR-KUA-41bd5a3d-8,COCc1csc(-c2nnc(-c3sc(-c4ccccc4)nc3C)o2)c1,> 99.5,,,,,Weak
JAR-KUA-41bd5a3d-9,Cc1ccc(S(=O)(=O)NCC(=O)N2CCC(NS(N)(=O)=O)CC2)cc1,> 99.5,,,0.436,4.0,Weak
JIN-POS-6dc588a4-10,O=C(Cc1cccc(Cl)c1)Nc1cncc2nccnc12,76.0,63.6,90.9,0.945,2.1,Quant
JIN-POS-6dc588a4-11,O=C(Cc1cccc(Cl)c1)Nc1cncc2cc(F)ccc12,1.47,1.27,1.70,0.994,1.1,Quant
JIN-POS-6dc588a4-12,O=C(Cc1cccc(Cl)c1)Nc1cncc2[nH]ccc12,6.19,5.11,7.50,1.06,1.1,Quant
JIN-POS-6dc588a4-13,O=C(Cc1cccc(Cl)c1)Nc1cncc2c(F)cccc12,0.890,0.791,1.00,1.03,1.1,Quant
JIN-POS-6dc588a4-14,O=C(Cc1cccc(Cl)c1)Nc1cncc2cc[nH]c12,1.90,1.74,2.06,0.95,1.1,Quant
JIN-POS-6dc588a4-2,O=C(Cc1cccc(Cl)c1)Nc1noc2ncccc12,> 99.5,,,,,Weak
JIN-POS-6dc588a4-20,O=C(Cc1cccc(Cl)c1)Nc1cncc2c1NCCC2,38.0,34.1,42.3,1.21,2.1,Quant
JIN-POS-6dc588a4-21,O=C(Cc1cccc(Cl)c1)Nc1c(O)cnc2ccccc12,8.44,6.78,10.5,1.11,1.1,Quant
JIN-POS-6dc588a4-22,O=C(Cc1cccc(Cl)c1)Nc1cncc2sccc12,0.425,0.396,0.455,1.03,1.1,Quant
JIN-POS-6dc588a4-23,COc1ncc(NC(=O)Cc2cccc(Cl)c2)c2ccccc12,> 99.5,,,0.113,4.0,Weak
JIN-POS-6dc588a4-24,N#Cc1ncc(NC(=O)Cc2cccc(Cl)c2)c2ccccc12,65.9,58.3,74.6,2.19,2.1,Quant
JIN-POS-6dc588a4-3,COc1ccncc1NC(=O)Cc1cccc(Cl)c1,21.6,18.7,24.9,1.11,2.1,Quant
JIN-POS-6dc588a4-5,O=C(Cc1cccc(Cl)c1)Nc1c[nH]c2ccccc12,> 99.5,,,0.221,2.3,Weak
JIN-POS-6dc588a4-6,CC(C)(C)Oc1ccncc1NC(=O)Cc1cccc(Cl)c1,22.9,19.7,26.7,0.988,2.1,Quant
JIN-POS-6dc588a4-7,O=C(Cc1cccc(Cl)c1)Nc1ncnc2ccccc12,> 99.5,,,1.11,4.0,Weak
JIN-POS-6dc588a4-8,O=C(Cc1cccc(Cl)c1)Nc1noc2ccccc12,> 99.5,,,0.964,2.3,Weak
JIN-POS-6dc588a4-9,O=C(Cc1cccc(Cl)c1)Nc1cnn2ccccc12,11.3,10.3,12.5,0.951,1.1,Quant
JOH-MSK-a63bdd1d-4,CC(=O)NCCc1c[nH]c2ccc(O)cc12,> 99.5,,,,,Weak
JOH-UNI-0e1753c1-1,COC(OC)C(=O)N1CCN(Cc2cccc(Cl)c2)CC1,94.3,74.5,119,1.2,2.1,Quant
JOH-UNI-0e1753c1-2,O=CC(=O)N1CCN(Cc2cccc(Cl)c2)CC1,56.6,50.3,63.8,1.2,2.1,Quant
JOH-UNI-0e1753c1-4,CC(=O)C(=O)N1CCN(Cc2cccc(Cl)c2)[C@@H](CC(C)C)C1,> 99.5,,,1.23,2.3,Weak
JOH-UNI-23d9e1b1-1,CC(=O)C(=O)N1CCN(Cc2cccc(Cl)c2)CC1,> 99.5,,,,,Weak
JOH-UNI-61f30276-2,O=c1[nH]c(Cc2cccc(C(F)(F)F)c2)nc2cnccc12,> 99.5,,,,,Weak
JOH-UNI-61f30276-3,O=c1[nH]c(Cc2cccc(S(F)(F)(F)(F)F)c2)nc2cnccc12,> 99.5,,,,,Weak
JOH-UNI-abfda500-4,O=C(Cc1cccc(Cl)c1)Nc1cnccc1C(=O)O,> 99.5,,,1.89,2.1,Weak
JOH-UNI-abfda500-7,O=C(Cc1cccc(C(F)(F)F)c1)Nc1cnccc1C(=O)O,> 99.5,,,2.76,2.3,Weak
JOH-UNI-ea1df7a8-1,O=C(Cc1cncc2ccccc12)N1CCOc2ccc(Cl)cc21,6.05,5.61,6.52,0.988,1.1,Quant
JOR-UNI-2fc98d0b-12,O=C(Nc1cccnc1)N(CCC1CCCCC1)c1cccc(Cl)c1,3.06,2.83,3.31,0.955,2.1,Quant
KAD-UNI-b13decd3-4,NS(=O)(=O)c1ccc(CNC[C@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)cc1F,27.3,23.4,31.9,0.886,2.1,Quant
KAD-UNI-cb0f2bbc-23,CNS(=O)(=O)c1cc(CNC[C@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)ccc1F,36.0,32.6,39.7,1.68,2.1,Quant
LON-POS-586a7c45-1,C=CC(=O)N(c1ccc(C(C)(C)C)cc1)[C@@H](C(=O)NCCc1cccc(F)c1)c1cccnc1,86.4,49.9,149,0.669,2.3,Quant
LON-WEI-4d77710c-10,O=C(NCc1ccc2c(c1)OCO2)c1nc(S(=O)(=O)Cc2ccccc2)ncc1Cl,1.40,1.29,1.51,1.52,1.1,Quant
LON-WEI-4d77710c-11,COC(=O)c1c(C)n(S(C)(=O)=O)c2ccc(N(C(=O)c3ccco3)S(C)(=O)=O)cc12,0.935,0.767,1.14,1.03,1.1,Quant
LON-WEI-4d77710c-19,O=C(O)[C@@H](c1ccccc1)N1Cc2ccccc2C1=O,1.78,1.60,1.98,1.96,1.1,Quant
LON-WEI-4d77710c-2,O=S(=O)(Cc1ccccc1F)c1oc(-c2ccc(F)cc2)nc1S(=O)(=O)c1ccccc1,0.397,0.304,0.519,1.38,1.1,Quant
LON-WEI-4d77710c-24,CCOC(=O)c1cc(-c2ccccc2)sc1NC(=O)Cc1csc(-c2ccccc2)n1,4.66,4.16,5.21,1.38,1.1,Quant
LON-WEI-4d77710c-44,CC(C)Cn1cc(NC(=O)NCc2ccco2)c2ccccc2c1=O,29.6,24.0,36.6,1.78,2.1,Quant
LON-WEI-4d77710c-51,Cc1noc(C)c1CCNC(=O)Nc1cn(CC(C)C)c(=O)c2ccccc12.Cl.Cl.Cl,27.7,26.5,28.9,2.56,1.1,Quant
LON-WEI-4d77710c-61,O=[N+]([O-])c1cnc(Sc2nnc(-c3ccco3)n2-c2ccc(OCc3ccccc3)cc2)s1,7.30,5.41,9.83,1.24,1.1,Quant
LON-WEI-4d77710c-64,O=S(=O)(Nc1ccccc1SCc1cccc(Cl)c1F)c1cc(Cl)sc1Cl,2.23,1.44,3.44,0.805,1.3,Quant
LON-WEI-4d77710c-65,CC(C)(C)c1ccc(-c2nnc(Sc3cnc([N+](=O)[O-])s3)o2)cc1,2.38,0.993,5.70,0.63,2.3,Quant
LON-WEI-4d77710c-66,COC(=O)c1c(C)nn(C(=O)c2cccs2)c1-c1snnc1C,5.72,4.22,7.76,0.713,1.1,Quant
LON-WEI-4d77710c-67,O=[N+]([O-])c1cnc(Sc2nnc(-c3ccc(Cl)cc3)o2)s1,0.881,0.627,1.24,1.33,1.3,Quant
LON-WEI-4d77710c-69,O=C(Nc1cccc(C(F)(F)F)c1)Nc1ccccc1Sc1ncc([N+](=O)[O-])s1,6.26,4.70,8.34,0.773,1.1,Quant
LON-WEI-4d77710c-70,N#Cc1cnn(C(=O)c2cccs2)c1C1CC1,3.24,2.19,4.78,0.699,1.1,Quant
LON-WEI-4d77710c-73,Cc1cc(C)c(C#N)c(Sc2ncnc3c2nnn3Cc2ccccc2)n1,0.649,0.621,0.679,1.49,1.1,Quant
LON-WEI-4d77710c-76,c1ccc(-c2cc(Sc3nnc(-c4cccs4)o3)n3ncnc3n2)cc1,0.221,0.207,0.236,1.61,1.1,Quant
LON-WEI-4d77710c-8,CCOC(=O)c1c(C)n(S(C)(=O)=O)c2ccc(N(C(=O)c3ccco3)S(C)(=O)=O)cc12,0.282,0.258,0.307,1.0,1.1,Quant
LON-WEI-b2874fec-15,O=C(Nc1ccccc1)[C@@H](c1ccccc1)N1Cc2ccccc2C1=O,> 99.5,,,0.484,4.0,Weak
LON-WEI-b2874fec-16,O=C(Nc1ccc(Cl)cc1)[C@@H](c1ccccc1)N1Cc2ccccc2C1=O,> 99.5,,,,,Weak
LON-WEI-b2874fec-17,Cc1cccc(NC(=O)[C@@H](c2ccccc2)N2Cc3ccccc3C2=O)n1,> 99.5,,,,,Weak
LON-WEI-b2874fec-18,O=C(Nc1ccncc1)[C@@H](c1ccccc1)N1Cc2ccccc2C1=O,> 99.5,,,0.801,4.0,Weak
LON-WEI-b2874fec-19,O=C(Nc1ccc(F)cc1)[C@@H](c1ccccc1)N1Cc2ccccc2C1=O,> 99.5,,,,,Weak
LON-WEI-b2874fec-20,COCCNC(=O)[C@@H](c1ccccc1)N1Cc2ccccc2C1=O,> 99.5,,,,,Weak
LON-WEI-b2874fec-22,O=C(NCCc1ccccc1)[C@@H](c1ccccc1)N1Cc2ccccc2C1=O,> 99.5,,,,,Weak
LON-WEI-b2874fec-23,N#Cc1ccccc1NC(=O)[C@@H](c1ccccc1)N1Cc2ccccc2C1=O,> 99.5,,,1.35,4.0,Weak
LON-WEI-b2874fec-24,O=C(Nc1cccc(F)c1)[C@@H](c1ccccc1)N1Cc2ccccc2C1=O,> 99.5,,,0.764,4.0,Weak
