Canonical_PostEra_ID,suspected_SMILES,IC50_(µM),IC50_CI_(Lower)_(µM),IC50_CI_(Upper)_(µM),Hill_slope,Curve_class,Semiquant
ALP-POS-95b75b4d-1,Cc1ccncc1NC(=O)Cc1cccc(F)c1,96.9,75.0,125,1.74,2.3,Quant
ALP-POS-95b75b4d-5,O=C(Cc1cccc(Cl)c1)Nc1cnccc1C1CC1,7.17,6.72,7.66,1.07,1.1,Quant
ALP-POS-a1bdc92a-1,CCC(=O)Nc1ccc(N(Cc2ccccc2)C(=O)n2nnc3ccccc32)cc1,> 99.5,,,,,Weak
ALP-POS-a3de0cb1-1,CCC(=O)Nc1ccc(N(Cc2ccccc2)C(=O)Nn2nnc3ccccc32)cc1,3.59,3.39,3.80,1.08,1.1,Quant
ALP-POS-a3de0cb1-15,COc1ccc(N(Cc2ccccc2)C(=O)Cc2c[nH]c3ccccc23)cc1,> 99.5,,,0.819,3.0,Weak
ALP-POS-a3de0cb1-16,O=C1CCCCN1c1ccc(N(Cc2ccccc2)C(=O)Cc2n[nH]c3ccccc23)cc1,39.4,4.94,315,0.333,2.3,Quant
ALP-POS-c0c213c9-1,COc1ccc2nnn(CC(=O)N(Cc3ccccn3)c3ccc(C4CCNCC4)cc3)c2c1,38.8,33.9,44.3,1.57,2.1,Quant
ALP-POS-c0c213c9-10,O=C(CN(C(=O)Cc1cccnc1)c1ccc(-c2ncccn2)cc1)N1CCNCC1,> 99.5,,,,,Weak
ALP-POS-c0c213c9-11,NCc1cn(CC(=O)N(Cc2ccsc2)c2ccc(-n3cnnc3)cc2)nn1,> 99.5,,,0.419,2.3,Weak
ALP-POS-c0c213c9-15,O=C(Cn1nnc2ccccc21)N(Cc1ccccn1)c1cnc(-c2ccccc2)nc1,> 99.5,,,0.829,3.0,Weak
ALP-POS-c0c213c9-18,O=C(Cn1nnc2ccccc21)N(Cc1ccccn1)c1ccc(-n2cnnc2)cc1,> 99.5,,,0.914,2.1,Weak
ALP-POS-c0c213c9-20,O=C(CN(C(=O)Cn1ccnn1)c1ccc(-c2ccccn2)cc1)N1CCNCC1,> 99.5,,,,,Weak
ALP-POS-c0c213c9-3,O=C(CN(C(=O)Cn1nnc2ccccc21)c1ccc(-c2ccccc2)cc1)N1CCNCC1,> 99.5,,,1.9,2.3,Weak
ALP-POS-c0c213c9-4,NCc1cn(CC(=O)N(Cc2cscn2)c2ccc(-c3ccccc3)nc2)nn1,> 99.5,,,2.44,4.0,Weak
ALP-POS-c0c213c9-5,NCc1cn(CC(=O)N(Cc2ccsc2)c2ccc(-c3ccccc3)cc2)nn1,> 99.5,,,0.949,2.3,Weak
ALP-POS-c0c213c9-6,CC(C)(C(N)=O)c1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1,3.17,2.92,3.43,1.05,1.1,Quant
ALP-POS-c0c213c9-7,NCc1cn(CC(=O)N(CC(=O)N2CCNCC2)c2ccc(-c3ccccc3)cc2)nn1,> 99.5,,,0.905,2.3,Weak
ALP-POS-c3a96089-1,Cc1ccc(N(Cc2cscn2)C(=O)Cc2cncc3ccccc23)cc1,8.09,7.51,8.71,1.11,1.1,Quant
ALP-POS-c3a96089-2,Cc1ccc(N(Cc2cscn2)C(=O)Cc2cncc3ccccc23)nc1,> 99.5,,,1.51,2.3,Weak
ALP-POS-c3a96089-4,CC(=O)Nc1ccc(N(Cc2cccc(Cl)c2)C(=O)Cc2cncc3ccccc23)cn1,0.712,0.665,0.762,1.08,1.1,Quant
ALP-POS-c59291d4-1,O=C(Cn1nnc2ccccc21)N(Cc1ccsc1)c1ccc(-c2ccccc2)cc1,5.32,3.33,8.50,0.745,1.3,Quant
ALP-POS-c59291d4-2,CCC(=O)Nc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1,1.63,1.07,2.47,1.37,1.3,Quant
ALP-POS-c59291d4-3,O=C(Nc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1)C1CC1,3.99,2.78,5.74,1.29,1.1,Quant
ALP-POS-c59291d4-4,CNc1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1,4.33,2.95,6.35,2.0,1.1,Quant
ALP-POS-c59291d4-5,O=C(Oc1cncc(Cl)c1)c1cccc2[nH]ccc12,< 0.0500,,,2.82,2.3,Strong
ALP-POS-cd485364-1,Nc1nn(C(=O)Cc2cccc(Cl)c2)c2ccc(F)cc12,> 99.5,,,1.78,2.3,Weak
ALP-POS-cd485364-2,Nc1cncc2c1CCCN2C(=O)Cc1cccc(Cl)c1,25.5,23.7,27.5,1.2,2.1,Quant
ALP-POS-ce760d3f-3,[H][C@@]1(C(=O)Nc2cncc3ccncc23)CCOc2ccc(Cl)cc21,0.991,0.917,1.07,1.11,1.1,Quant
ALP-POS-ce760d3f-4,[H][C@@]1(C(=O)Nc2c[n+]([O-])cc3ccccc23)CCOc2ccc(Cl)cc21,13.7,8.09,23.3,1.57,1.3,Quant
ALP-POS-d054b76b-5,N#CC1CN(S(=O)(=O)NCc2ccc(Cl)cc2CC(=O)Nc2cncc3ccccc23)C1,0.231,0.216,0.246,1.12,2.1,Quant
ALP-POS-d2866bdf-1,"CN(C)C1=CC=C(C=C1)N(CC1=CSC=C1)C(=O)CN1N=NC2=CC=CC=C12 |c:5,7,15,22,26,t:3,12,24,28|",1.79,0.507,6.35,1.93,1.3,Quant
ALP-POS-ddb41b15-3,CN(C)c1cncc(CN(C(=O)c2cc(=O)[nH]c3ccccc23)c2cccc(Cl)c2)c1,57.7,48.8,68.3,2.18,2.3,Quant
ALP-POS-ddb41b15-4,COc1cccc(CCN(C(=O)c2cc(=O)[nH]c3ccccc23)c2cccc(Cl)c2)c1,4.07,3.41,4.86,1.15,1.1,Quant
ALP-POS-f13221e1-2,O=C(COc1cccc(Cl)c1)Nc1cncc2ccccc12,11.2,9.97,12.5,1.07,1.1,Quant
ALP-POS-f13221e1-3,O=C(CCc1cccc(Cl)c1)Nc1cncc2ccccc12,20.8,17.5,24.7,1.15,2.1,Quant
ALP-POS-f13221e1-4,Cc1ccncc1NC(=O)CCc1cccc(Cl)c1,> 99.5,,,1.44,2.3,Weak
ANN-UNI-98d2bf15-1,Cc1ccncc1NC(=O)Cc1ccccc1N,> 99.5,,,2.65,3.0,Weak
ANN-UNI-98d2bf15-3,NC(=O)c1ccncc1NC(=O)Cc1cccc(Cl)c1,> 99.5,,,1.96,2.3,Weak
ASA-WEI-839d033f-1,C[C@@H]1[C@@]2(CC[C@@H](C)CO2)O[C@H]2C[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@@]21O,> 99.5,,,,,Weak
BAR-COM-0f94fc3d-48,Cc1ccncc1NC(=O)CN1C(=O)COc2ccc(Cl)cc21,59.9,11.5,312,0.9,2.3,Quant
BEN-DND-03406596-11,C[C@H](C(=O)Nc1cncnc1)c1ccccc1,> 99.5,,,,,Weak
BEN-DND-03406596-12,C[C@@H](C(=O)Nc1cncnc1)c1ccccc1,> 99.5,,,,,Weak
BEN-DND-03406596-8,O=C(CCl)N1CCCN(S(=O)(=O)c2ccc(F)cc2)CC1,44.0,28.5,67.9,1.48,2.3,Quant
BEN-DND-03ad4429-1,O=C1CCN(S(=O)(=O)c2cccc(F)c2)CC1,> 99.5,,,0.171,4.0,Weak
BEN-DND-03ad4429-2,O=C1CCCN(S(=O)(=O)c2cccc(F)c2)CC1,> 99.5,,,0.276,4.0,Weak
BEN-DND-03ad4429-4,O=C(/C=C/c1ccccc1)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,> 99.5,,,,,Weak
BEN-DND-03ad4429-5,O=C1CCN(S(=O)(=O)c2cccs2)CC1,> 99.5,,,0.522,4.0,Weak
BEN-DND-03ad4429-6,O=C1CCCN(S(=O)(=O)c2cccs2)CC1,> 99.5,,,0.326,2.3,Weak
BEN-DND-09b88bf4-7,Cc1ccncc1NC(=O)CN1CCN(CC1)C(=O)OCc1ccccc1,> 99.5,,,,,Weak
BEN-DND-09b88bf4-8,Cc1ccncc1NC(=O)CN1CCN(CC1)C(=O)OC(C)(C)C,> 99.5,,,,,Weak
BEN-DND-1e24cf73-1,O=C(Cc1cccc(Cl)c1)Nc1cncn1-c1ccccc1,> 99.5,,,1.41,2.3,Weak
BEN-DND-4f474d93-1,O=C(Nc1cncc2cnccc12)[C@@H]1CCOc2ccc(Cl)cc21,3.10,2.04,4.70,1.22,1.3,Quant
