suspected_SMILES,Canonical_PostEra_ID,IC50_(µM),IC50_CI_(Lower)_(µM),IC50_CI_(Upper)_(µM),Hill_slope,Curve_class
O=C(NCc1nnc2c(=O)[nH]ccn12)Nc1cccc(F)c1,WIL-UNI-1faa9b10-12,> 99.5,,,,
CS(=O)(=O)c1cccc(NC(=O)NC(CO)c2cccc(F)c2)c1,WIL-UNI-1faa9b10-11,> 99.5,,,,
NS(=O)(=O)c1cc(Cl)c(F)c(C(=O)NNc2ccc(Cl)c(F)c2)c1,WIL-UNI-1faa9b10-10,> 99.5,,,1.11,2.3
COc1ccc(F)cc1NC(=O)NC(CO)c1cccc(F)c1,WIL-UNI-1faa9b10-9,> 99.5,,,1.03,3.0
O=C(CNC(=O)C(=O)Nc1ccc(F)c(Cl)c1)Nc1cccnc1,WIL-UNI-1faa9b10-8,> 99.5,,,1.58,2.3
CS(=O)(=O)Nc1cccc(C(=O)NCC(O)c2cccc(F)c2)c1,WIL-UNI-1faa9b10-7,> 99.5,,,,
O=C(Nc1cc(F)ccc1F)C(=O)NC(CO)c1ccccc1,WIL-UNI-1faa9b10-4,> 99.5,,,0.078,2.3
Nc1ncncc1CNC(=O)C(=O)Nc1ccc(F)c(F)c1,WIL-UNI-1faa9b10-3,> 99.5,,,0.19,2.3
COc1c(Cl)cccc1NC(=O)C(=O)NCC(O)c1ccc(F)cc1,WIL-UNI-1faa9b10-1,> 99.5,,,,
CNC(=O)CN1Cc2ccc(Cl)cc2[C@@]2(CCN(c3cncc4ccc(F)cc34)C2=O)C1,LUO-POS-b4dec3be-2,0.0858,0.0822,0.0896,1.17,2.1
CNC(=O)CN1Cc2ccc(Cl)cc2[C@]2(CCN(c3cncc4ccc(F)cc34)C2=O)C1,LUO-POS-b4dec3be-1,16.3,15.5,17.1,1.21,1.1
CNC(=O)CN1C[C@@]2(CCN(c3cncc4ccc(Cl)cc34)C2=O)c2cc(Cl)ccc2C1=O,LUO-POS-8c3e556a-2,3.10,2.86,3.35,1.13,1.1
CNC(=O)CN1C[C@]2(CCN(c3cncc4ccc(Cl)cc34)C2=O)c2cc(Cl)ccc2C1=O,LUO-POS-8c3e556a-1,< 0.0500,,,1.37,2.1
CN1CCC(Oc2ccc3cncc(N4CCC5(CN(S(=O)(=O)CC6(C#N)CC6)Cc6ccc(Cl)cc65)C4=O)c3c2)CC1,LUO-POS-d1147590-1,0.216,0.197,0.237,1.09,2.1
CNS(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,LUO-POS-ed2cfb03-2,0.360,0.336,0.386,1.06,1.1
CN1CCN(S(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,LUO-POS-ed2cfb03-1,0.325,0.313,0.336,1.09,1.1
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCN6CC(F)(F)C6)cc45)C3=O)C2)CC1,EDJ-MED-468565e0-5,0.0776,0.0720,0.0835,1.08,2.1
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCN6CCC(F)(F)CC6)cc45)C3=O)C2)CC1,EDJ-MED-468565e0-4,0.124,0.105,0.145,0.978,2.1
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCN6CCS(=O)(=O)CC6)cc45)C3=O)C2)CC1,EDJ-MED-468565e0-3,2.24,33.1E-06,151E+03,20.6,1.3
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCN6CCOCC6)cc45)C3=O)C2)CC1,EDJ-MED-468565e0-2,0.187,0.179,0.196,1.12,2.1
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCN6CCCC6)cc45)C3=O)C2)CC1,EDJ-MED-468565e0-1,0.225,0.220,0.230,1.14,2.1
CNC(=O)C1(N2CC3(CCN(c4cncc5ccc(F)cc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,EDJ-MED-b6c6ee2b-7,0.0850,0.0820,0.0881,1.13,2.1
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(Cl)cc45)C3=O)C2)CC1,EDJ-MED-b6c6ee2b-4,0.820,0.770,0.873,1.06,1.1
COc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1,EDJ-MED-b6c6ee2b-3,0.215,0.181,0.255,1.06,2.1
CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccc(OC)cc34)C2=O)C1,EDJ-MED-b6c6ee2b-2,0.153,0.145,0.162,1.22,2.1
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCCN6CCCC6)cc45)C3=O)C2)CC1,MAT-POS-40ad851a-5,0.128,0.124,0.133,1.11,2.1
CN(C)CCCOc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1,MAT-POS-40ad851a-4,0.149,0.135,0.164,1.22,2.1
CCN(CC)CCOc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1,MAT-POS-40ad851a-3,0.183,0.176,0.191,1.2,2.1
CCN(C)CCOc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1,MAT-POS-40ad851a-2,0.401,0.383,0.418,1.17,1.1
CN1CCCC1COc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1,MAT-POS-40ad851a-1,0.118,0.114,0.122,1.15,2.1
CCC1CN(c2cncc3ccccc23)C(=O)C12CN(S(=O)(=O)CC1(C#N)CC1)Cc1ccc(Cl)cc12,MAT-POS-50a80394-2,0.0497,0.0464,0.0531,1.5,1.1
CCC1CN(c2cncc3ccccc23)C(=O)C12CN(S(=O)(=O)CC1(C#N)CC1)Cc1ccc(Cl)cc12,MAT-POS-50a80394-2,0.0744,0.0723,0.0766,1.72,2.1
CC1CN(c2cncc3ccccc23)C(=O)C12CN(S(=O)(=O)CC1(C#N)CC1)Cc1ccc(Cl)cc12,MAT-POS-50a80394-1,0.107,0.102,0.111,1.41,2.1
O=C(c1ccnn1C1CC1)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,MAT-POS-be048f2c-7,0.163,0.156,0.170,1.14,2.1
CC(C)n1nccc1C(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,MAT-POS-be048f2c-6,0.268,0.258,0.277,1.04,2.1
CCn1nccc1C(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,MAT-POS-be048f2c-5,0.297,0.278,0.318,1.17,1.1
O=C1N(c2cncc3ccccc23)CCC12CN(Cc1nncs1)Cc1ccc(Cl)cc12,PET-UNK-7e9559de-4,0.263,0.253,0.273,1.18,1.1
Cc1cc(C(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)n(C)n1,EDJ-MED-cc48ee33-5,0.464,0.433,0.497,1.09,1.1
Cc1cnn(C)c1C(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,EDJ-MED-cc48ee33-4,0.683,0.624,0.748,1.17,1.1
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3nncn3C3CC3)C2)CC1,EDJ-MED-fb79a796-3,55.3,51.8,59.1,1.17,2.1
CNC(=O)CN1CC2(CCN(c3cncc4ccc(OCCN(C)C)cc34)C2=O)c2cc(Cl)ccc2C1=O,MAT-POS-38eb6498-4,0.0895,0.0842,0.0952,1.09,1.1
CNC(=O)CN1CC2(CCN(c3cncc4ccc(OCCN(C)C)cc34)C2=O)c2cc(Cl)ccc2C1=O,MAT-POS-38eb6498-4,0.0991,0.0938,0.105,1.01,2.1
"CNC(=O)CN1CC2=CC=C(Cl)C=C2C2(CCN(C2=O)C2=CN=CC3=CC=C(OCCN(C)C)C=C23)C1 |c:12,24,t:7,9,22,26,28,36|",MAT-POS-38eb6498-3,0.210,0.198,0.222,1.23,2.1
[H][C@]1(C(=O)Nc2cncc3c2CCCC3)CNS(=O)(=O)c2ccc(Cl)cc21,MIK-UNK-58cd43d0-1,0.723,0.690,0.758,1.04,1.1
CNC(=O)CN1Cc2ccc(Cl)cc2[C@]2(CCN(c3cncc4c3CCCC4)C2=O)C1,MIK-UNK-122557fa-1,> 99.5,,,1.23,2.1
CNC(=O)CN1Cc2ccc(Cl)cc2[C@@]2(CCN(c3cncc4c3CCCC4)C2=O)C1,MIK-UNK-1619f2e2-1,0.235,0.226,0.245,1.06,2.1
[H][C@@]1(C(=O)Nc2cncc3c2CCCC3)CNS(=O)(=O)c2ccc(Cl)cc21,MIK-UNK-78dbf1b8-1,0.205,0.199,0.211,0.993,2.1
COc1cc(O)c(CC=C(C)C)c(O)c1C(=O)/C=C/c1ccc(O)cc1,SAL-UNI-60119594-10,> 99.5,,,0.735,2.3
O=c1c(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,SAL-UNI-60119594-9,> 99.5,,,3.25,2.3
COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2oc(-c3ccc(O)cc3)cc(=O)c2c1O,SAL-UNI-60119594-8,> 99.5,,,1.95,3.0
