suspected_SMILES,Canonical_PostEra_ID,IC50_(µM),IC50_CI_(Lower)_(µM),IC50_CI_(Upper)_(µM),Hill_slope,Curve_class
CN(CCO)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,MAT-POS-5cd9ea36-23,0.0860,0.0829,0.0891,0.968,2.1
COCCN(C)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,MAT-POS-5cd9ea36-22,0.104,0.0914,0.119,0.902,2.1
CN(CCC#N)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,MAT-POS-5cd9ea36-21,0.0876,0.0825,0.0931,1.08,1.1
CN(CCC#N)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,MAT-POS-5cd9ea36-21,0.0823,0.0729,0.0929,1.07,2.1
CN(C1CC1)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,MAT-POS-5cd9ea36-20,0.104,0.0847,0.128,1.2,2.1
CC(C)N(C)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,MAT-POS-5cd9ea36-19,0.126,0.118,0.135,1.19,2.1
CN(CC#N)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,MAT-POS-5cd9ea36-18,0.200,0.148,0.269,0.995,1.1
CN(CC#N)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,MAT-POS-5cd9ea36-18,0.0952,0.0881,0.103,1.08,1.1
CN(CC#N)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,MAT-POS-5cd9ea36-18,0.101,0.0915,0.112,1.2,1.1
CN(CC#N)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,MAT-POS-5cd9ea36-18,0.0694,0.0614,0.0784,0.876,2.1
CCNS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,MAT-POS-5cd9ea36-17,0.149,0.128,0.173,0.986,2.1
CCN(C)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,MAT-POS-5cd9ea36-16,0.102,0.0954,0.109,1.04,1.1
CCN(C)S(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,MAT-POS-5cd9ea36-16,0.0789,0.0692,0.0901,0.898,2.1
N#CCNC(=O)CN1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,MAT-POS-5cd9ea36-15,0.0867,0.0795,0.0946,1.1,1.1
N#CCNC(=O)CN1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,MAT-POS-5cd9ea36-15,0.0801,0.0744,0.0862,1.17,2.1
CNC(=O)C(C)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,MAT-POS-5cd9ea36-14,0.124,0.114,0.134,1.14,2.1
O=C(CN1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1)NC1CC1,MAT-POS-5cd9ea36-13,0.186,0.136,0.253,0.927,1.1
O=C(CN1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1)NC1CC1,MAT-POS-5cd9ea36-13,0.0990,0.0901,0.109,1.23,1.1
O=C(CN1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1)NC1CC1,MAT-POS-5cd9ea36-13,0.0760,0.0706,0.0818,0.994,2.1
O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)CC2CC2(F)F)Cc2ccc(Cl)cc21,MAT-POS-5cd9ea36-11,0.159,0.146,0.174,1.04,2.1
CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CC1,MAT-POS-5cd9ea36-10,0.0980,0.0838,0.115,1.19,2.1
O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)CC2(F)CC2)Cc2ccc(Cl)cc21,MAT-POS-5cd9ea36-9,0.176,0.165,0.188,1.2,2.1
N#CCC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CC1,MAT-POS-5cd9ea36-8,0.128,0.122,0.135,1.06,2.1
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCS(=O)(=O)CC1,MAT-POS-5cd9ea36-7,0.212,0.171,0.264,1.08,1.1
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCS(=O)(=O)CC1,MAT-POS-5cd9ea36-7,0.102,0.0918,0.113,0.982,1.1
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCS(=O)(=O)CC1,MAT-POS-5cd9ea36-7,0.121,0.106,0.139,1.27,1.1
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCS(=O)(=O)CC1,MAT-POS-5cd9ea36-7,0.0841,0.0744,0.0951,0.883,2.1
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCOCC1,MAT-POS-5cd9ea36-6,0.170,0.125,0.230,1.1,1.1
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCOCC1,MAT-POS-5cd9ea36-6,0.0971,0.0875,0.108,1.16,1.1
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCOCC1,MAT-POS-5cd9ea36-6,0.0804,0.0770,0.0840,1.14,2.1
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCCC1,MAT-POS-5cd9ea36-5,0.0884,0.0826,0.0946,1.14,1.1
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CCCC1,MAT-POS-5cd9ea36-5,0.0790,0.0712,0.0877,1.13,2.1
CC(C)NS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,MAT-POS-5cd9ea36-4,0.195,0.177,0.214,0.989,2.1
O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)NC2CCC2)Cc2ccc(Cl)cc21,MAT-POS-5cd9ea36-3,0.127,0.115,0.141,1.1,1.1
O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)NC2CCC2)Cc2ccc(Cl)cc21,MAT-POS-5cd9ea36-3,0.132,0.114,0.152,1.31,1.1
O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)NC2CCC2)Cc2ccc(Cl)cc21,MAT-POS-5cd9ea36-3,0.0999,0.0943,0.106,1.09,2.1
O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)NC2CC2)Cc2ccc(Cl)cc21,MAT-POS-5cd9ea36-2,0.128,0.119,0.136,1.12,1.1
O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)NC2CC2)Cc2ccc(Cl)cc21,MAT-POS-5cd9ea36-2,0.0955,0.0885,0.103,0.942,2.1
"CS(=O)(=O)NC1=CC2=C(NC(=O)C3CN(CC4=CC=C(Cl)C=C34)S(=O)(=O)CC3(CC3)C#N)C=NC=C2C=C1 |c:7,35,37,40,t:5,16,18,21|",MAT-POS-e36d57d9-1,0.267,0.242,0.295,1.07,1.1
Cc1cc(F)cc2cncc(NC(=O)Cc3cccc(Cl)c3)c12,MAT-POS-29385cc1-4,0.851,0.765,0.946,1.1,1.1
"CC1=CC2=CN=CC(NC(=O)CC3=CC=CC(Cl)=C3)=C2C=C1 |c:5,14,17,19,22,t:1,3,12|",MAT-POS-29385cc1-3,1.24,1.08,1.42,1.07,1.1
COc1cc2cncc(NC(=O)Cc3cccc(Cl)c3)c2cc1F,MAT-POS-29385cc1-2,> 99.5,,,0.421,2.3
O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)CC2CS(=O)(=O)C2)Cc2ccc(Cl)cc21,EDJ-MED-4fff0a85-4,0.199,0.134,0.296,0.932,1.3
O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)CC2CS(=O)(=O)C2)Cc2ccc(Cl)cc21,EDJ-MED-4fff0a85-4,0.109,0.101,0.118,1.03,1.1
O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)CC2CS(=O)(=O)C2)Cc2ccc(Cl)cc21,EDJ-MED-4fff0a85-4,0.119,0.108,0.133,1.2,1.1
O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)CC2CS(=O)(=O)C2)Cc2ccc(Cl)cc21,EDJ-MED-4fff0a85-4,0.0852,0.0802,0.0906,1.11,2.1
CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CS(=O)(=O)C1,EDJ-MED-4fff0a85-3,0.0636,0.0575,0.0704,1.12,1.1
CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccccc34)C2)CS(=O)(=O)C1,EDJ-MED-4fff0a85-3,< 0.0500,,,1.0,2.1
O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)CC2CCOCC2)Cc2ccc(Cl)cc21,EDJ-MED-4fff0a85-1,0.152,0.133,0.172,1.11,2.1
"CC1(CN(CC2=CC=C(Cl)C=C12)S(=O)(=O)CC1(CC1)C#N)C(=O)NC1=CN=CC2=CC=CC=C12 |c:29,33,t:5,7,10,27,31,35|",ALP-POS-c56c1477-4,0.0960,0.0861,0.107,1.14,2.1
"O=C(N[C@@H](C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1)[C@@H]1CC[C@H](C(=O)N2CCCC2)O1 |o1:3,o2:24,27|",MAT-POS-7174c657-6,0.419,0.393,0.447,1.06,1.1
"O=C(N[C@@H](C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1)[C@@H]1CC[C@H](C(=O)N2CCCC2)O1 |o1:3,o2:24,27|",MAT-POS-7174c657-6,2.04,1.84,2.26,1.22,1.1
"O=C(N[C@H](C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1)[C@@H]1CC[C@H](C(=O)N2CCCC2)O1 |o1:3,o2:24,27|",MAT-POS-7174c657-5,1.26,1.12,1.42,0.988,1.1
"O=C(N[C@H](C(=O)Nc1cncc2ccccc12)c1cccc(Cl)c1)[C@@H]1CC[C@H](C(=O)N2CCCC2)O1 |o1:3,o2:24,27|",MAT-POS-7174c657-5,1.58,1.43,1.76,1.24,1.1
NS(=O)(=O)c1ccc(CNC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)cc1F,MAT-POS-7174c657-4,1.80,1.63,1.98,1.11,1.1
O=C(Cc1cccc(Cl)c1)N1Cc2ccccc2C(O)C1,MAT-POS-7174c657-3,14.8,14.0,15.6,3.16,1.1
O=C(Cc1cccc(Cl)c1)N1CC(O)Cc2ccccc21,MAT-POS-7174c657-2,> 99.5,,,,
CNS(=O)(=O)c1cc(CNC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)ccc1F,MAT-POS-7174c657-1,1.22,1.11,1.34,1.12,1.1
CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C2(C)C,MAT-POS-7ed7af85-1,2.67E-03,2.48E-03,2.87E-03,1.22,1.1
CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C2(C)C,MAT-POS-7ed7af85-1,< 0.0500,,,0.342,2.3
COC(C)(C)CS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,EDJ-MED-76744c27-7,0.200,0.183,0.218,1.07,2.1
CC(C)CS(=O)(=O)N1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,EDJ-MED-76744c27-5,0.107,0.0968,0.119,1.05,2.1
O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)CC2CC2)Cc2ccc(Cl)cc21,EDJ-MED-76744c27-3,0.168,0.163,0.174,1.13,2.1
"CC(C)(CS(=O)(=O)N1CC(C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1)C#N |c:15,19,28,30,t:13,17,21,25|",EDJ-MED-76744c27-1,0.235,0.186,0.296,1.09,1.1
"CC(C)(CS(=O)(=O)N1CC(C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1)C#N |c:15,19,28,30,t:13,17,21,25|",EDJ-MED-76744c27-1,0.110,0.102,0.118,1.08,1.1
"CC(C)(CS(=O)(=O)N1CC(C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1)C#N |c:15,19,28,30,t:13,17,21,25|",EDJ-MED-76744c27-1,0.113,0.101,0.127,1.25,1.1
"CC(C)(CS(=O)(=O)N1CC(C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC(Cl)=CC=C2C1)C#N |c:15,19,28,30,t:13,17,21,25|",EDJ-MED-76744c27-1,0.0863,0.0768,0.0969,0.904,2.1
"ClC1=CC=C2C(NC(=O)C3CN(CC4=CC=C(Cl)C=C34)S(=O)(=O)CC3(CC3)C#N)=CN=CC2=C1 |c:31,33,36,t:1,3,13,15,18|",EDJ-MED-be9e6f63-4,0.283,0.238,0.337,0.956,1.1
"CS(=O)(=O)NC1=CC2=CN=CC(NC(=O)C3CN(CC4=CC=C(Cl)C=C34)S(=O)(=O)CC3(CC3)C#N)=C2C=C1 |c:9,37,40,t:5,7,19,21,24|",EDJ-MED-be9e6f63-3,0.0396,0.0371,0.0424,1.19,1.1
"CS(=O)(=O)NC1=CC2=CN=CC(NC(=O)C3CN(CC4=CC=C(Cl)C=C34)S(=O)(=O)CC3(CC3)C#N)=C2C=C1 |c:9,37,40,t:5,7,19,21,24|",EDJ-MED-be9e6f63-3,< 0.0500,,,1.01,2.1
"FC1=CC2=CN=CC(NC(=O)C3CN(CC4=CC=C(Cl)C=C34)S(=O)(=O)CC3(CC3)C#N)=C2C=C1 |c:5,33,36,t:1,3,15,17,20|",EDJ-MED-be9e6f63-2,0.222,0.204,0.241,1.2,2.1
COc1ccc2c(NC(=O)C3CN(S(=O)(=O)CC4(C#N)CC4)Cc4ccc(Cl)cc43)cncc2c1,EDJ-MED-be9e6f63-1,0.342,0.309,0.380,1.12,1.1
Cc1c(N)cncc1NC(=O)C1CCOc2ccc(Cl)cc21,MAT-POS-7ddaf7de-4,3.38,2.87,3.98,1.19,1.1
O=C(Nc1cncc2cc(CN3CC4(CNC4)C3)ccc12)C1CCOc2ccc(Cl)cc21.O=C(O)C(F)(F)F,MAT-POS-7ddaf7de-3,1.44,1.19,1.74,1.14,1.1
CS(=O)(=O)c1ccc2c(NC(=O)C3CCOc4ccc(Cl)cc43)cncc2c1,MAT-POS-7ddaf7de-2,0.427,0.353,0.517,1.11,1.1
Cc1nccn1Cc1ccc2c(NC(=O)C3CCOc4ccc(Cl)cc43)cncc2c1,MAT-POS-7ddaf7de-1,5.32,4.70,6.01,1.12,1.1
Clc1cccc2c1OCCC2Nc1ncccn1,RED-RED-10c9212c-57,> 99.5,,,,
Cc1[nH]c2ccccc2c1C=Nc1sc2c(c1C#N)CCC(C)C2,RED-RED-10c9212c-56,> 99.5,,,,
O=C(NCC(=O)N1CCCC1c1nc2ccccc2[nH]1)C1CCCC1,RED-RED-10c9212c-55,> 99.5,,,,
O=C(NCC(c1ccccc1)c1c[nH]c2ccccc12)c1cnccn1,RED-RED-10c9212c-54,> 99.5,,,1.5,2.3
O=c1c2ccccc2c(-c2ccc(Br)cc2)nn1CC(O)CN1CCOCC1,RED-RED-10c9212c-53,> 99.5,,,,
CC(NCc1c[nH]c2nccnc12)c1cc(F)ccc1N1CCC(O)CC1,RED-RED-10c9212c-52,> 99.5,,,,
CC(C)N1CCCC(N2CCN(c3ccc4nccnc4n3)CC2)C1=O,RED-RED-10c9212c-50,> 99.5,,,,
CCC(c1ccncc1)N(C)C(=O)Cc1c[nH]c2ncccc12,RED-RED-10c9212c-49,> 99.5,,,,
Cc1cc(C)c(S(=O)(=O)N2CCCC2C(=O)Nc2ccc3[nH]c(=O)sc3c2)c(C)c1,RED-RED-10c9212c-48,> 99.5,,,2.7,4.0
O=CNc1ccc(C(=O)NC(c2ccccc2)C2CCOCC2)cc1,RED-RED-10c9212c-47,> 99.5,,,,
CSc1ccc(C2c3c(-c4ccccc4O)n[nH]c3C(=O)N2Cc2cccnc2)cc1,RED-RED-10c9212c-46,> 99.5,,,1.03,2.3
CC(C)(CNC(=O)C1CNC(=O)N1)N1CCc2ccccc2C1,RED-RED-10c9212c-45,> 99.5,,,,
CCCCn1nnnc1CNC1CCc2nc(C(C)C)nn2C1,RED-RED-10c9212c-44,> 99.5,,,,
Cc1cc(C)n(C2CCCN(C(=O)c3c[nH]c4ncccc34)C2)n1,RED-RED-10c9212c-43,> 99.5,,,,
CC1C(=O)NCCN1C(=O)CCCc1c[nH]c2ccccc12,RED-RED-10c9212c-42,> 99.5,,,,
NC(=O)C1Cc2ccccc2CN1CC(=O)N1CCN(c2ncccn2)CC1,RED-RED-10c9212c-41,> 99.5,,,,
O=C(c1ccc(N2CCCC2)nc1)N1CCCC(c2ccn[nH]2)C1,RED-RED-10c9212c-40,> 99.5,,,,
O=C(Cn1cn[nH]c1=O)NC1CCCCCC1c1ccccc1C(F)(F)F,RED-RED-10c9212c-39,> 99.5,,,,
COC(=O)C1CC1C(=O)N1CCC(c2c[nH]c3ncccc23)CC1,RED-RED-10c9212c-38,> 99.5,,,,
Cc1cccc(C2CCCCN2C(=O)C(C)c2cncnc2)c1C,RED-RED-10c9212c-37,> 99.5,,,5.06,4.0
CCC(C(=O)O)N1CCCC(NC(=O)c2ccc3ccccc3c2)C1.Cl,RED-RED-10c9212c-36,> 99.5,,,,
COC1CCC2OCCN(C(=O)c3ccc4[nH]cnc4c3)C2C1,RED-RED-10c9212c-35,> 99.5,,,,
Cc1ccccc1C(C)NC(C)C(=O)Nc1ccc2[nH]c(=O)[nH]c2c1,RED-RED-10c9212c-34,> 99.5,,,,
CCN1CCCC1C1CCCN1C(=O)CCc1c[nH]c2ccccc12,RED-RED-10c9212c-33,> 99.5,,,,
CCC(C)c1ccc(C(NCC(=O)Nc2ccc3[nH]c(=O)[nH]c3c2)c2cccs2)cc1,RED-RED-10c9212c-32,> 99.5,,,,
CC=CC=CC(=O)N1CC=C(c2c[nH]c3ncccc23)CC1,RED-RED-10c9212c-31,> 99.5,,,,
COc1ccc([N+](=O)[O-])cc1COC(=O)c1cnc2ccccc2n1,RED-RED-10c9212c-30,> 99.5,,,0.701,3.0
O=c1[nH]c(-c2nnc[nH]2)nc2cc(-c3ccccc3Cl)sc12,RED-RED-10c9212c-29,> 99.5,,,0.74,2.3
Cc1nc(-c2cccc(NCc3ccccc3C)c2)n[nH]1,RED-RED-10c9212c-28,> 99.5,,,,
O=C(NCCc1nnc2n1CCC2)c1cc(O)nc2ccccc12,RED-RED-10c9212c-27,> 99.5,,,3.61,4.0
O=C(OCC(=O)N1CCC(Cc2ccccc2)CC1)c1cc(=O)[nH]c(=O)[nH]1,RED-RED-10c9212c-26,> 99.5,,,2.6,3.0
O=c1[nH]c2ccc(NC(=S)Nc3ccccc3Cl)cc2[nH]1,RED-RED-10c9212c-25,> 99.5,,,,
Cc1cccc(CN2CCN(c3nc4ccccc4nc3C)CC2)c1,RED-RED-10c9212c-24,> 99.5,,,,
C1=C(c2c[nH]c3ccccc23)CCN(Cc2ccno2)C1,RED-RED-10c9212c-23,> 99.5,,,,
Cc1ccc(-n2c(C)c(C)n3c4c(=O)n(CCCO)c(=O)n(C)c4nc23)cc1Cl,RED-RED-10c9212c-22,> 99.5,,,,
Cc1c(Cl)cc(S(=O)(=O)N2CC=C(c3c[nH]c4ncccc34)CC2)cc1[N+](=O)[O-],RED-RED-10c9212c-21,> 99.5,,,0.734,2.3
Cc1ccc(-c2ccc(C(=O)N3CC[C@H](N)C3)c(F)c2)cc1,RED-RED-10c9212c-20,> 99.5,,,,
O=C(CCc1nc2ccccc2[nH]1)N1CCC(CCc2ccccc2)CC1,RED-RED-10c9212c-19,> 99.5,,,,
O=C(c1cc(F)cc(F)c1)N1CCOc2cc(O)ccc2C1,RED-RED-10c9212c-18,> 99.5,,,-0.662,4.0
O=C(Cn1ccc(=O)[nH]c1=O)OCc1ccc(-c2ccccc2)cc1,RED-RED-10c9212c-17,> 99.5,,,5.06,3.0
Clc1scc(CN2CCC(c3ccn[nH]3)CC2)c1Cl,RED-RED-10c9212c-16,> 99.5,,,,
O=C(NCc1ccc2[nH]c(=O)[nH]c2c1)Nc1ccc(F)c(F)c1,RED-RED-10c9212c-15,> 99.5,,,0.803,4.0
Cc1[nH]c2ccccc2c1C(=O)CSc1nc2cc(Cl)cnc2[nH]1,RED-RED-10c9212c-14,> 99.5,,,0.407,2.3
O=CN1CCC(OC(=O)c2c[nH]nc2-c2ccc(Cl)cc2)CC1,RED-RED-10c9212c-13,> 99.5,,,,
O=C(O)c1ccc(CNCc2c[nH]nc2-c2cccs2)cc1,RED-RED-10c9212c-12,> 99.5,,,,
O=C(NCCCc1nc(=O)[nH][nH]1)C1(c2ccc(F)cc2F)CCC1,RED-RED-10c9212c-11,> 99.5,,,,
CCc1n[nH]c(=O)c(-c2nc(-c3c[nH]c4ncccc34)cs2)c1CC,RED-RED-10c9212c-10,> 99.5,,,0.794,3.0
O=C(COC(=O)C1(c2ccccc2)CCC1)c1c[nH]c2ccccc12,RED-RED-10c9212c-9,> 99.5,,,1.11,4.0
O=C(Cn1ccc(=O)[nH]c1=O)N1CCN(c2ccccc2O)CC1,RED-RED-10c9212c-8,> 99.5,,,,
Cc1c(Cl)cccc1S(=O)(=O)N(Cc1ccc(F)cc1)c1ccc2[nH]c(=O)[nH]c2c1,RED-RED-10c9212c-7,> 99.5,,,,
O=c1[nH]c2ccc(-c3csc(NCc4ccc(F)cc4)n3)cc2o1,RED-RED-10c9212c-6,> 99.5,,,,
O=C(Nc1cccnc1)N1CCC(CN2CCc3ccccc32)CC1,RED-RED-10c9212c-5,> 99.5,,,1.51,3.0
O=C(Nc1ccc(-c2nnc[nH]2)cc1)c1cccc(F)c1F,RED-RED-10c9212c-4,> 99.5,,,,
Cc1sc2ncnc(N3CCc4c(ncn4C4CC4)C3)c2c1C,RED-RED-10c9212c-3,> 99.5,,,,
NC(=O)CN1CCCN(C(=O)CCSc2ccc(F)cc2)CC1,RED-RED-10c9212c-2,> 99.5,,,,
Cc1nc(C2CCN(C(=O)c3ccc(Br)cc3)CC2)n[nH]1,RED-RED-10c9212c-1,> 99.5,,,,
Cc1ccncc1NC(=O)CN1CCN(CC1)C(=O)OC(C)(C)C,BEN-DND-09b88bf4-8,> 99.5,,,,
Cc1ccncc1NC(=O)CN1CCN(CC1)C(=O)OCc1ccccc1,BEN-DND-09b88bf4-7,> 99.5,,,,
"CNC(=O)CN1CC(C(=O)NC2=CN=CC3=CC(F)=CC=C23)C2=CC(Cl)=CC=C2C1 |c:13,18,27,29,t:11,15,20,24|",ALP-POS-6f6ae286-5,0.257,0.237,0.279,0.999,2.1
COC1(C(=O)Nc2cncc3cc(F)ccc23)CCOc2ccc(Cl)cc21,ALP-POS-6f6ae286-3,0.411,0.385,0.440,1.11,1.1
O=C1NCC(C(=O)Nc2cncc3cc(F)ccc23)c2cc(Cl)ccc21,ALP-POS-6f6ae286-1,1.15,0.945,1.39,0.905,1.1
O=C1CCCN(S(=O)(=O)c2cccs2)CC1,BEN-DND-03ad4429-6,> 99.5,,,0.326,2.3
O=C1CCN(S(=O)(=O)c2cccs2)CC1,BEN-DND-03ad4429-5,> 99.5,,,0.522,4.0
O=C(/C=C/c1ccccc1)N1CCN(S(=O)(=O)c2cccc(F)c2)CC1,BEN-DND-03ad4429-4,> 99.5,,,,
O=C1CCCN(S(=O)(=O)c2cccc(F)c2)CC1,BEN-DND-03ad4429-2,> 99.5,,,0.276,4.0
O=C1CCN(S(=O)(=O)c2cccc(F)c2)CC1,BEN-DND-03ad4429-1,> 99.5,,,0.171,4.0
CN(C)C(=O)c1cc2c(NC(=O)C3CCOc4ccc(Cl)cc43)cncc2s1,MAT-POS-ee5e8e94-2,0.399,0.371,0.429,1.14,1.1
Cc1ccc2ncc(NC(=O)Cc3cccc(Cl)c3)n2c1,EDJ-MED-b24713dc-3,9.01,8.60,9.44,1.12,1.1
Cc1cccc2ncc(NC(=O)Cc3cccc(Cl)c3)n12,EDJ-MED-b24713dc-2,5.54,4.96,6.18,1.13,1.1
Cc1ccn2c(NC(=O)Cc3cccc(Cl)c3)cnc2c1,EDJ-MED-b24713dc-1,19.6,17.8,21.5,0.969,2.1
Cc1cccn2ncc(NC(=O)C3CNC(=O)c4ccc(Cl)cc43)c12,EDJ-MED-dd2a8363-4,2.40,2.15,2.68,1.13,1.1
O=C1NCC(C(=O)Nc2cnn3c2CCCC3)c2cc(Cl)ccc21,EDJ-MED-dd2a8363-3,30.5,26.4,35.3,1.2,2.1
O=C(Nc1cnn2ccccc12)C1CCS(=O)(=O)c2ccc(Cl)cc21,EDJ-MED-dd2a8363-2,3.89,3.24,4.68,0.987,1.1
O=C1NCC(C(=O)Nc2cnn3ccccc23)c2cc(Cl)ccc21,EDJ-MED-dd2a8363-1,7.09,6.25,8.04,1.15,1.1
CCC1(C(=O)Nc2cncc3ccccc23)CNS(=O)(=O)c2ccc(Cl)cc21,ALP-POS-1cbc2fae-2,0.0993,0.0796,0.124,1.0,1.1
CCC1(C(=O)Nc2cncc3ccccc23)CNS(=O)(=O)c2ccc(Cl)cc21,ALP-POS-1cbc2fae-2,0.0760,0.0697,0.0828,1.07,2.1
CC1(C(=O)Nc2cncc3ccccc23)CNS(=O)(=O)c2ccc(Cl)cc21,ALP-POS-1cbc2fae-1,0.263,0.236,0.292,0.98,1.1
O=C1N(c2cncc3ccccc23)CC[C@]1(O)c1cccc(Cl)c1,MAT-POS-8695a11f-3,0.738,0.619,0.878,1.29,1.1
O=C(Nc1cncc2ccc(CN3CCNCC3)cc12)C1CCOc2ccc(Cl)cc21,MAT-POS-8695a11f-2,0.756,0.662,0.864,1.18,1.1
O=C1N(c2cncc3ccccc23)CC[C@@]1(O)c1cccc(Cl)c1,MAT-POS-8695a11f-1,90.7,73.2,112,1.35,2.1
CS(=O)(=O)Nc1ccc2cncc(NC(=O)C3CCS(=O)(=O)c4ccc(Cl)cc43)c2c1,EDJ-MED-d9f3798e-3,0.204,0.177,0.236,1.33,1.1
CS(=O)(=O)Nc1ccc2cncc(NC(=O)C3CNC(=O)c4ccc(Cl)cc43)c2c1,EDJ-MED-d9f3798e-1,0.195,0.180,0.211,0.985,2.1
O=C(Nc1cncc2ccccc12)C1CN(CC2CC2)C(=O)c2ccc(Cl)cc21,EDJ-MED-eb111c00-3,0.381,0.352,0.412,1.17,1.1
COCCN1CC(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2C1=O,EDJ-MED-eb111c00-2,0.267,0.249,0.287,0.984,2.1
